"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","26",NA,"55.0","26",NA,"","4","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","8.8","0",NA,"23.0","0","0.4","0","",,NA,"85.8","0",NA,"","12","",,NA,"276.7","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","10.0","0",NA,"18.5","0","3.2","0","",,NA,"79.0","0",NA,"","10","",,NA,"241.2","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","8.8","0","0.1","25.0","0","0.0","0","0.0","0","0.0","138.2","0","195.0","0.0","14","","",NA,"276.8","0.0","1017230"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","9.4","0",NA,"22.6","0","-0.6","0","",,NA,"71.0","0",NA,"","11","",,NA,"258.5","0.0","1018598"
"VICTORIA GONZALES CS","48.413","-123.325","BC","9.9","0",NA,"24.9","0","2.5","0","",,NA,"62.4","0",NA,"","13","",,NA,"243.3","0.0","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","9.6","1",NA,"24.0","0","1.1","1","0.0","0",NA,"97.8","0",NA,"","14","",,NA,"244.8","0.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","9.6","0",NA,"17.5","0","4.1","0","",,NA,"72.8","0",NA,"","11","",,NA,"252.5","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","8.3","0","0.2","25.5","0","-2.0","0","0.0","0","0.0","111.8","0","121.0","0.0","13","","",NA,"292.1","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","9.5","0","0.6","22.5","0","3.0","0","0.0","0","0.0","98.0","0","104.0","0.0","13","","",NA,"255.9","0.0","1021330"
"CHROME ISLAND","49.472","-124.683","BC","9.3","0",NA,"22.0","0","1.5","0","0.0","0",NA,"116.7","0",NA,"0.0","14","","",NA,"262.1","0.0","1021500"
"COMOX A","49.717","-124.900","BC","9.6","0","0.8","25.5","0","1.4","0","0.0","0","0.0","120.6","0","187.0","","11","",,NA,"251.5","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","9.7","1",NA,"25.5","1","0.5","1","0.0","1",NA,"107.4","1",NA,"0.0","13","","",NA,"239.6","0.0","1021960"
"ENTRANCE ISLAND","49.209","-123.811","BC","9.6","0",NA,"16.9","0","3.8","0","",,NA,"57.0","0",NA,"","10","",,NA,"251.6","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","8.9","0",NA,"24.8","0","2.1","0","",,NA,"114.6","0",NA,"","13","",,NA,"273.3","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","9.4","0",NA,"23.0","0","1.0","0","0.0","0",NA,"115.4","0",NA,"0.0","12","","",NA,"258.9","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","8.5","0","0.5","23.5","0","-3.0","0","0.0","0",NA,"102.2","0","159.0","0.0","16","","",NA,"285.7","0.0","1024638"
"NANAIMO A","49.054","-123.870","BC","9.1","2",NA,"24.5","2","0.5","2","0.0","2",NA,"99.5","2",NA,"0.0","14","","",NA,"248.0","0.0","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"126.7","0","177.0","0.0","15","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","7.2","0",NA,"21.4","0","-1.3","0","2.4","0",NA,"106.5","0",NA,"","16","",,NA,"324.0","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","8.7","1",NA,"23.3","1","0.1","0","",,NA,"68.1","1",NA,"","9","",,NA,"269.2","0.0","1026562"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","9.0","1","0.4","26.0","1","-0.5","1","0.0","1",NA,"132.4","1",NA,"0.0","14","","",NA,"262.1","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","9.8","0",NA,"19.9","0","4.6","0","",,NA,"",,NA,"","","",,NA,"244.9","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","8.9","5",NA,"16.5","5","3.5","5","0.0","5",NA,"72.5","5",NA,"","11","","",NA,"228.6","0.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","9.3","0","0.7","21.0","0","1.5","0","0.0","0",NA,"263.8","0","120.0","0.0","18","","",NA,"261.8","0.0","1031316"
"ESTEVAN POINT","49.383","-126.543","BC","9.1","0","0.9","21.0","0","0.5","0","0.0","0","0.0","215.1","0","79.0","0.0","18","","",NA,"266.9","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","8.6","1",NA,"20.4","1","0.4","0","",,NA,"185.5","1",NA,"","14","",,NA,"271.4","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","8.2","1",NA,"19.0","1","1.5","1","0.0","1",NA,"282.4","1",NA,"0.0","15","","",NA,"284.9","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","8.5","3","-0.1","27.0","3","-1.5","3","0.0","3",NA,"373.8","3",NA,"","19","","",NA,"256.9","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","9.5","0","0.7","20.5","0","2.0","0","0.0","0","0.0","245.2","0","93.0","0.0","18","","",NA,"254.2","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","8.2","3","-0.1","19.5","3","-2.0","3","0.0","2",NA,"203.0","2",NA,"0.0","15","","",NA,"265.3","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","7.0","21","-1.8","15.0","21","-3.0","21","0.0","21",NA,"68.4","21",NA,"","6","","",NA,"98.7","0.0","1036208"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","8.2","8",NA,"25.8","8","-1.5","8","",,NA,"161.7","8",NA,"","14","",,NA,"215.1","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","7.3","0",NA,"14.8","0","2.0","0","",,NA,"181.0","8",NA,"","14","",,NA,"322.0","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","8.1","0",NA,"18.1","0","1.4","0","",,NA,"99.0","0",NA,"","16","",,NA,"297.4","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","8.3","14",NA,"25.0","14","-0.5","14","",,NA,"272.7","18",NA,"","12","","",NA,"154.9","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","8.9","1","0.9","21.0","1","-1.0","1","0.0","1",NA,"293.0","1",NA,"0.0","17","","",NA,"265.3","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","8.9","0","0.5","22.0","0","0.5","0","0.0","0","0.0","318.1","0","119.0","0.0","17","","",NA,"272.5","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","8.5","3",NA,"26.0","2","-1.5","3","2.0","2",NA,"310.4","2",NA,"0.0","17","","",NA,"255.5","0.0","1039035"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","19",NA,"136.4","19",NA,"","10","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","9.6","0","0.1","21.0","0","1.0","0","0.0","0","0.0","162.0","0","168.0","0.0","15","","",NA,"252.0","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","10.0","0","0.3","20.5","0","3.0","0","0.0","0","0.0","103.8","0","148.0","0.0","12","","",NA,"240.3","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","10.7","9",NA,"21.1","9","3.3","8","",,NA,"56.6","9",NA,"","9","",,NA,"152.5","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"101.3","0",NA,"0.0","14","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","9.5","0",NA,"24.4","0","-0.2","0","",,NA,"321.5","0",NA,"","18","",,NA,"256.4","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","8.2","0","-0.3","23.5","0","-2.5","0","0.0","0","0.0","94.5","0","113.0","0.0","12","","",NA,"293.5","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","8.5","1",NA,"23.7","1","-1.8","0","",,NA,"34.3","12",NA,"","6","",,NA,"276.5","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","9.2","1",NA,"25.7","1","-1.4","0","",,NA,"103.1","1",NA,"","11","",,NA,"256.5","0.0","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","10.0","0",NA,"29.2","0","-1.8","0","",,NA,"147.7","0",NA,"","15","",,NA,"241.1","0.5","10476F0"
"WHISTLER","50.129","-122.955","BC","6.4","0","0.3","26.5","0","-6.0","0","4.2","0","27.0","73.4","0","97.0","0.0","14","","",NA,"348.6","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","7.3","1",NA,"15.9","1","1.0","0","",,NA,"",,NA,"","","",,NA,"310.6","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","6.9","1",NA,"13.2","1","1.2","0","",,NA,"119.8","1",NA,"","15","",,NA,"321.6","0.0","1054222"
"LANGARA","54.255","-133.058","BC","6.4","0","0.1","18.0","0","-0.5","0","3.6","0","112.0","120.6","0","86.0","0.0","19","","",NA,"347.8","0.0","1054500"
"ROSE SPIT (AUT)","54.159","-131.661","BC","6.9","0",NA,"12.3","0","-3.4","0","",,NA,"105.4","0",NA,"","11","",,NA,"332.8","0.0","1056869"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","6.9","1",NA,"14.3","1","-0.8","0","",,NA,"90.5","1",NA,"","9","",,NA,"321.9","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","7.6","24",NA,"13.6","22","1.5","23","",,NA,"18.1","24",NA,"","2","",,NA,"62.7","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","8.4","2","0.4","20.0","2","0.0","2","0.0","2",NA,"259.4","2",NA,"","18","","",NA,"268.6","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","7.2","4",NA,"23.8","4","-4.9","4","",,NA,"167.9","4",NA,"","16","",,NA,"281.2","0.0","1060815"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","8.6","1",NA,"24.8","1","-5.1","0","",,NA,"33.7","1",NA,"","8","",,NA,"273.5","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","8.1","0","0.7","21.0","0","0.0","0","0.2","0","9.0","331.0","0","85.0","0.0","16","","",NA,"296.9","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","7.3","0","-0.1","14.0","0","1.5","0","0.0","0","0.0","128.6","0","78.0","0.0","13","","",NA,"319.7","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","8.1","17",NA,"28.8","16","4.2","14","",,NA,"38.2","17",NA,"","6","",,NA,"128.2","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","7.8","0",NA,"20.3","0","0.1","0","",,NA,"27.8","3",NA,"","7","",,NA,"305.7","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","7.1","0",NA,"12.0","0","1.2","0","",,NA,"25.2","0",NA,"","5","",,NA,"326.7","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","8.6","0","0.5","20.5","0","-0.5","0","0.0","0","0.0","167.2","0","82.0","0.0","19","","",NA,"283.1","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","8.4","1","0.7","17.0","1","0.5","1","0.0","1",NA,"182.0","1",NA,"0.0","15","","",NA,"278.2","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","6.1","11","-1.3","12.5","11","-2.0","11","2.0","11",NA,"119.0","11",NA,"","13","","",NA,"226.3","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","7.1","1",NA,"14.5","1","0.4","0","",,NA,"109.4","2",NA,"","14","",,NA,"314.8","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","8.6","0",NA,"18.2","0","1.5","0","",,NA,"67.4","0",NA,"","13","",,NA,"283.2","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","6.8","0",NA,"13.5","0","0.8","0","",,NA,"74.4","0",NA,"","11","",,NA,"337.0","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","8.2","0","0.2","16.0","0","1.0","0","0.8","0","35.0","184.2","0","87.0","0.0","16","","",NA,"292.8","0.0","1063690"
"KEMANO","53.563","-127.943","BC","6.6","0","-0.6","24.0","0","-4.0","0","2.6","0","119.0","67.2","0","67.0","0.0","13","","",NA,"343.1","0.0","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","6.2","0","-0.8","23.0","0","-9.0","0","26.0","0","486.0","110.5","0","86.0","0.0","16","","",NA,"353.0","0.0","1064320"
"KITIMAT 2","54.010","-128.705","BC","6.6","3","-0.7","23.0","3","-8.0","3","6.0","3",NA,"239.2","3",NA,"0.0","13","","",NA,"306.7","0.0","1064321"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","3.6","27",NA,"7.2","27","0.8","26","",,NA,"",,NA,"","","",,NA,"43.2","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","8.1","0","0.2","15.0","0","2.0","0","0.0","0","0.0","135.1","0","69.0","0.0","18","","",NA,"295.6","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","6.5","9",NA,"15.3","9","-1.9","9","",,NA,"67.5","9",NA,"","7","",,NA,"241.6","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","28",NA,"41.2","28",NA,"","2","","",NA,"","","1066488"
"TERRACE PCC","54.502","-128.625","BC","6.8","1","-0.5","24.0","1","-4.5","1","10.0","1",NA,"33.2","1",NA,"0.0","9","","",NA,"323.8","0.0","1068131"
"TERRACE A","54.469","-128.578","BC","5.7","0",NA,"22.4","0","-6.8","0","10.6","0",NA,"45.2","0",NA,"","9","",,NA,"369.7","0.0","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","7.1","0",NA,"12.0","0","0.5","0","0.0","0",NA,"89.4","0",NA,"0.0","12","","",NA,"327.6","0.0","1068250"
"EQUITY SILVER","54.199","-126.277","BC","-4.0","11","-4.9","6.5","11","-23.5","11","19.2","11",NA,"20.0","11",NA,"","5","","",NA,"418.9","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","3.2","9",NA,"23.5","9","-12.0","9","2.0","14",NA,"2.0","14",NA,"0.0","1","","",NA,"311.7","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","3.8","8",NA,"22.8","8","-10.5","8","",,NA,"4.0","8",NA,"","2","",,NA,"311.6","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","3.6","2","-1.2","23.5","2","-10.0","2","3.0","2",NA,"5.4","2",NA,"0.0","2","","",NA,"402.2","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","3.5","0",NA,"23.0","0","-11.3","0","",,NA,"18.2","0",NA,"","4","",,NA,"436.2","0.0","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","2.2","1","-2.6","23.0","1","-12.0","1","4.8","1",NA,"21.6","1",NA,"0.0","4","","",NA,"457.7","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","0.3","0",NA,"19.8","0","-22.8","0","",,NA,"17.6","0",NA,"","6","",,NA,"530.8","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","9.6","0",NA,"29.8","0","-3.1","0","",,NA,"41.9","0",NA,"","11","",,NA,"253.4","0.0","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","3.0","0",NA,"25.6","0","-16.2","0","",,NA,"12.3","0",NA,"","3","",,NA,"449.1","0.0","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","4.0","0",NA,"26.2","0","-17.2","0","",,NA,"23.5","0",NA,"","4","",,NA,"418.6","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","1.1","0",NA,"21.9","0","-21.8","0","",,NA,"6.3","0",NA,"","1","",,NA,"506.3","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","2.3","14","-1.5","18.5","14","-17.5","14","1.0","14",NA,"7.3","14",NA,"0.0","3","","",NA,"250.8","0.0","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","2.6","0",NA,"20.8","0","-17.7","0","",,NA,"15.2","0",NA,"","5","",,NA,"462.3","0.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","3.0","14",NA,"22.0","9","-15.5","10","15.6","9",NA,"23.2","9",NA,"40.0","3","","",NA,"240.0","0.0","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","3.8","10",NA,"24.7","10","-13.6","8","",,NA,"3.8","10",NA,"","1","",,NA,"283.3","0.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","3.3","0",NA,"24.4","0","-14.5","0","",,NA,"9.8","0",NA,"","3","",,NA,"441.2","0.0","1096453"
"PRINCE GEORGE STP","53.880","-122.768","BC","5.5","4","-0.4","25.5","4","-9.5","4","0.0","4",NA,"10.8","4",NA,"0.0","3","","",NA,"325.2","0.0","1096468"
"QUESNEL","53.026","-122.510","BC","4.6","4",NA,"23.7","4","-9.6","4","",,NA,"0.0","4",NA,"","0","",,NA,"349.2","0.0","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","5.3","0",NA,"27.2","0","-9.7","0","",,NA,"4.3","0",NA,"","3","",,NA,"381.6","0.0","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","1.6","0","-2.0","23.5","0","-18.0","0","25.0","0","193.0","32.8","0","97.0","0.0","7","","",NA,"491.1","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","4.0","1",NA,"24.2","1","-11.2","0","18.2","0",NA,"20.7","0",NA,"","5","",,NA,"405.2","0.0","1098941"
"VANDERHOOF","54.033","-124.017","BC","3.9","0","-1.6","25.0","0","-15.0","0","1.4","0","23.0","13.8","0","54.0","0.0","4","","",NA,"422.0","0.0","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","4.8","1",NA,"25.5","0","-11.0","1","17.0","0",NA,"21.4","0",NA,"0.0","4","","",NA,"381.5","0.0","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","10.1","1",NA,"27.6","1","-0.9","0","0.0","0",NA,"143.5","0",NA,"","19","",,NA,"229.0","0.7","1100031"
"AGASSIZ RCS","49.243","-121.760","BC","10.7","2","-0.1","28.6","2","0.7","0","",,NA,"125.7","2",NA,"","19","",,NA,"209.4","4.1","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","8.7","16","-1.6","15.5","14","1.0","13","0.0","14",NA,"130.0","14",NA,"","13","","",NA,"129.8","0.0","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","6.3","0",NA,"26.3","0","-5.4","0","",,NA,"56.8","0",NA,"","11","",,NA,"349.8","0.0","1100875"
"BLACKCOMB BASE SLIDING CENTER","50.102","-122.936","BC","4.6","0",NA,"23.1","0","-7.1","0","",,NA,"77.7","0",NA,"21.0","15","",,NA,"402.8","0.0","1100881"
"CALLAGHAN VALLEY","50.144","-123.111","BC","4.4","0",NA,"20.6","0","-8.1","0","",,NA,"146.3","0",NA,"94.0","17","",,NA,"408.0","0.0","1101300"
"CLOVERDALE EAST","49.109","-122.698","BC","10.4","2",NA,"26.0","2","-1.0","2","0.0","2",NA,"139.8","2",NA,"","17","","",NA,"214.2","0.0","1101708"
"DELTA BURNS BOG","49.126","-123.002","BC","9.3","0",NA,"25.0","0","-2.5","0","",,NA,"136.1","0",NA,"","16","",,NA,"261.4","0.0","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","8.5","3","-1.9","18.0","3","0.5","3","0.0","2",NA,"101.5","2",NA,"0.0","13","","",NA,"257.6","0.0","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","9.9","0",NA,"27.5","0","-0.5","0","0.0","0",NA,"161.6","0",NA,"0.0","19","","",NA,"244.0","0.0","1102912"
"MISSION WEST ABBEY","49.153","-122.271","BC","9.4","0","-0.1","26.5","0","-0.5","0","1.6","0","87.0","185.0","0","122.0","0.0","17","","",NA,"258.1","1.0","1105192"
"RICHMOND OPERATIONS CENTRE","49.182","-123.078","BC","",,NA,"",,"",,"",,NA,"164.4","0",NA,"","17","",,NA,"","","1105210"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","3.3","2","-0.3","21.0","2","-5.0","2","61.0","2",NA,"255.3","2",NA,"0.0","20","","",NA,"411.7","0.0","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","1",NA,"193.5","1",NA,"0.0","15","","",NA,"","","1105669"
"PITT MEADOWS CS","49.208","-122.690","BC","10.1","2",NA,"27.6","2","-0.2","0","",,NA,"160.3","2",NA,"","15","",,NA,"220.4","0.0","1106178"
"RICHMOND DALLYN 2","49.179","-123.087","BC","",,NA,"",,"",,"0.0","0",NA,"148.6","0",NA,"0.0","15","","",NA,"","","1106764"
"PORT MOODY GLENAYRE","49.279","-122.881","BC","9.4","0","0.3","23.0","0","0.0","0","0.0","0","0.0","226.5","0","148.0","0.0","16","","",NA,"257.4","0.0","1106CL2"
"RICHMOND NATURE PARK","49.171","-123.093","BC","10.1","0","0.2","23.5","0","-2.0","0","0.0","0","0.0","147.9","0","155.0","0.0","17","","",NA,"236.7","0.0","1106PF7"
"SANDHEADS CS","49.106","-123.303","BC","9.9","1",NA,"18.8","1","3.7","1","",,NA,"",,NA,"","","",,NA,"236.1","0.0","1107010"
"SUMAS CANAL","49.113","-122.110","BC","11.7","24",NA,"26.0","19","1.5","20","0.0","19",NA,"49.2","19",NA,"","5","","",NA,"38.4","0.5","1107785"
"VANCOUVER SEA ISLAND CCG","49.183","-123.187","BC","9.4","0",NA,"18.3","0","-0.1","0","",,NA,"111.3","0",NA,"","15","",,NA,"256.7","0.0","1108380"
"VANCOUVER INTL A","49.195","-123.184","BC","9.2","0",NA,"18.1","0","-0.2","0","0.0","0",NA,"134.8","0",NA,"","15","",,NA,"262.7","0.0","1108395"
"VANCOUVER HARBOUR CS","49.295","-123.122","BC","10.1","0",NA,"21.1","0","2.1","0","",,NA,"178.9","0",NA,"","16","",,NA,"236.8","0.0","1108446"
"WEST VANCOUVER AUT","49.347","-123.193","BC","9.8","3",NA,"24.1","3","-0.1","0","",,NA,"38.7","19",NA,"","4","",,NA,"220.1","0.0","1108824"
"WHISTLER ROUNDHOUSE","50.068","-122.947","BC","-2.7","8",NA,"5.0","8","-12.5","8","101.0","8",NA,"116.8","8",NA,"","17","","",NA,"454.7","0.0","1108906"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.784","BC","9.9","2",NA,"23.4","2","0.5","0","",,NA,"11.4","27",NA,"","2","",,NA,"227.4","0.0","1108910"
"N VAN SEYMOUR HATCHERY","49.438","-122.967","BC","7.7","6","-0.4","25.0","6","-1.5","6","0.0","6",NA,"374.8","6",NA,"","17","","",NA,"248.1","0.0","110N666"
"HOPE A","49.368","-121.498","BC","10.7","8",NA,"28.6","8","1.7","8","",,NA,"135.6","8",NA,"","15","",,NA,"161.5","0.5","1113542"
